age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
25.0,private,149943.0,hs-grad,9.0,never-married,other-service,other-relative,asian-pac-islander,male,52.5,united-states,<=50k
42.0,private,136177.0,some-college,10.0,divorced,adm-clerical,unmarried,white,female,38.0,united-states,<=50k
80.5,private,275818.0,some-college,10.0,never-married,sales,not-in-family,white,female,40.0,united-states,<=50k
37.0,private,238049.0,9th,5.0,never-married,priv-house-serv,not-in-family,white,female,32.5,el-salvador,<=50k
35.0,private,187711.0,hs-grad,9.0,never-married,machine-op-inspct,not-in-family,white,male,40.0,united-states,<=50k
32.0,state-gov,117927.0,some-college,10.0,never-married,adm-clerical,not-in-family,black,female,40.0,united-states,<=50k
35.0,private,144608.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,40.0,united-states,<=50k
41.0,private,188307.0,hs-grad,9.0,divorced,craft-repair,unmarried,white,female,40.0,united-states,<=50k
62.0,self-emp-not-inc,82388.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,<=50k
39.0,private,225605.0,hs-grad,9.0,married-civ-spouse,farming-fishing,husband,white,male,32.5,united-states,<=50k
47.0,self-emp-not-inc,172034.0,hs-grad,9.0,married-civ-spouse,sales,husband,white,male,52.5,united-states,>50k
41.0,local-gov,416720.25,some-college,10.0,divorced,craft-repair,not-in-family,white,male,40.0,united-states,<=50k
50.0,private,187465.0,11th,10.0,divorced,sales,not-in-family,white,female,40.0,united-states,<=50k
27.0,private,193701.0,hs-grad,10.0,never-married,craft-repair,own-child,white,female,45.0,united-states,<=50k
45.0,private,104521.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,<=50k
39.0,private,113151.0,bachelors,13.0,married-civ-spouse,sales,husband,white,male,52.5,united-states,<=50k
45.0,self-emp-not-inc,220978.0,hs-grad,9.0,married-civ-spouse,exec-managerial,husband,white,male,50.0,united-states,<=50k
26.0,private,174921.0,bachelors,13.0,never-married,sales,not-in-family,white,female,40.0,united-states,<=50k
23.0,private,150683.0,some-college,10.0,never-married,exec-managerial,own-child,white,male,40.0,united-states,<=50k
42.0,private,331651.0,masters,14.0,never-married,prof-specialty,not-in-family,white,female,50.0,united-states,>50k
34.0,private,416720.25,11th,7.0,married-civ-spouse,handlers-cleaners,husband,white,male,40.0,mexico,<=50k
58.0,self-emp-not-inc,105592.0,7th-8th,4.5,married-civ-spouse,transport-moving,husband,white,male,40.0,united-states,>50k
19.0,private,41609.0,some-college,10.0,never-married,craft-repair,own-child,white,male,32.5,united-states,<=50k
50.0,private,116933.0,hs-grad,9.0,divorced,sales,not-in-family,white,female,33.0,united-states,<=50k
36.0,private,160035.0,hs-grad,9.0,never-married,other-service,not-in-family,white,male,40.0,united-states,<=50k
31.0,self-emp-not-inc,122749.0,assoc-voc,11.0,divorced,craft-repair,own-child,white,male,32.5,united-states,<=50k
65.0,local-gov,180869.0,some-college,10.0,widowed,adm-clerical,not-in-family,white,female,35.0,united-states,<=50k
27.0,private,271603.0,7th-8th,4.5,never-married,other-service,not-in-family,white,male,32.5,united-states,<=50k
22.0,private,214716.0,hs-grad,9.0,never-married,craft-repair,own-child,white,female,40.0,united-states,<=50k
49.0,private,91251.0,hs-grad,9.0,married-civ-spouse,other-service,husband,asian-pac-islander,male,40.0,china,<=50k
54.0,state-gov,44172.0,hs-grad,9.0,separated,craft-repair,unmarried,white,female,38.0,united-states,<=50k
26.0,private,173992.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,45.0,united-states,>50k
23.0,private,197904.0,hs-grad,9.0,never-married,other-service,unmarried,white,female,35.0,united-states,<=50k
27.0,private,204773.0,assoc-acdm,12.0,married-civ-spouse,craft-repair,wife,white,female,40.0,united-states,<=50k
35.0,self-emp-not-inc,190387.0,bachelors,13.0,married-civ-spouse,farming-fishing,husband,white,male,45.0,united-states,<=50k
59.0,private,146391.0,assoc-voc,11.0,married-civ-spouse,tech-support,husband,white,male,40.0,united-states,>50k
38.0,private,81232.0,bachelors,13.0,married-civ-spouse,exec-managerial,husband,white,male,40.0,united-states,>50k
46.0,private,110171.0,some-college,10.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,>50k
47.0,private,312088.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,40.0,united-states,<=50k
35.0,private,253006.0,some-college,10.0,married-civ-spouse,prof-specialty,husband,white,male,38.0,united-states,>50k
17.0,private,256173.0,10th,6.0,never-married,craft-repair,own-child,white,female,32.5,united-states,<=50k
38.0,private,305597.0,hs-grad,9.0,never-married,transport-moving,unmarried,white,male,40.0,united-states,<=50k
47.0,private,363418.0,some-college,10.0,never-married,sales,not-in-family,white,male,52.5,united-states,>50k
77.0,private,83601.0,prof-school,15.0,married-civ-spouse,exec-managerial,husband,white,male,40.0,united-states,<=50k
78.0,private,111189.0,7th-8th,4.5,never-married,machine-op-inspct,not-in-family,white,female,35.0,dominican-republic,<=50k
42.0,private,193494.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,40.0,united-states,>50k
34.0,private,182926.0,hs-grad,9.0,married-civ-spouse,craft-repair,husband,white,male,43.0,united-states,>50k
45.0,local-gov,148222.0,hs-grad,9.0,never-married,craft-repair,not-in-family,black,female,40.0,united-states,<=50k
24.0,private,261561.0,bachelors,13.0,never-married,prof-specialty,not-in-family,white,female,40.0,united-states,<=50k
43.0,local-gov,227734.0,assoc-voc,11.0,married-civ-spouse,transport-moving,husband,white,male,32.5,united-states,<=50k
34.0,self-emp-not-inc,31740.0,hs-grad,9.0,never-married,farming-fishing,not-in-family,white,male,40.0,united-states,<=50k
44.0,state-gov,185832.0,bachelors,13.0,married-civ-spouse,adm-clerical,husband,white,male,46.0,united-states,>50k
21.0,private,163870.0,10th,6.0,married-civ-spouse,other-service,husband,white,male,40.0,united-states,<=50k
35.0,self-emp-not-inc,241998.0,bachelors,13.0,married-civ-spouse,craft-repair,husband,white,male,45.0,united-states,<=50k
48.0,private,355890.0,bachelors,13.0,married-civ-spouse,craft-repair,husband,white,male,52.5,united-states,>50k
43.0,private,55213.0,hs-grad,9.0,married-civ-spouse,machine-op-inspct,husband,white,male,52.0,united-states,>50k
58.0,state-gov,300623.0,hs-grad,9.0,divorced,craft-repair,unmarried,white,female,40.0,united-states,<=50k
49.0,private,191277.0,some-college,10.0,married-civ-spouse,other-service,husband,white,male,40.0,united-states,<=50k
55.0,private,199856.0,hs-grad,9.0,married-civ-spouse,sales,wife,white,female,50.0,united-states,<=50k
27.0,private,211032.0,preschool,4.5,married-civ-spouse,farming-fishing,other-relative,white,male,32.5,mexico,<=50k
30.0,self-emp-not-inc,131584.0,assoc-voc,11.0,never-married,craft-repair,own-child,white,male,52.5,united-states,<=50k
