Survived,Sex,Age,SibSp,Parch,Fare,AgeBand,Embarked_filled,CabinKnown,Age_imputed,Age_cap,Fare_cap,Fare_log1p,FamilySize,IsAlone,Sex_bin,Pclass_2,Pclass_3,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Age_cap_z,Fare_cap_z,Fare_log1p_z,SibSp_z,Parch_z,FamilySize_z
0,male,22.0,1,0,7.25,18-29,S,0,22.0,22.0,7.25,2.1102132003465894,2,0,0,False,True,False,True,False,True,False,False,-0.5417476138421057,-0.8205524467753036,-0.8797405693934278,0.4327933656785018,-0.4736736092984604,0.059159876663617626
1,female,38.0,1,0,71.2833,30-44,C,1,38.0,38.0,65.6344,4.2805931204649,2,0,1,False,False,False,False,False,False,True,False,0.7155994876151472,2.0316232164746784,1.3612199269233833,0.4327933656785018,-0.4736736092984604,0.059159876663617626
1,female,26.0,0,0,7.925,18-29,S,0,26.0,26.0,7.925,2.188856327665703,1,1,1,False,True,False,True,True,False,False,False,-0.22741083847779245,-0.7875775669667633,-0.798539974052802,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
1,female,35.0,1,0,53.1,30-44,S,1,35.0,35.0,53.1,3.9908341858524357,2,0,1,False,False,False,True,False,False,True,False,0.4798469060919123,1.4192967965159125,1.0620380556287106,0.4327933656785018,-0.4736736092984604,0.059159876663617626
0,male,35.0,0,0,8.05,30-44,S,0,35.0,35.0,8.05,2.2027647577118348,1,1,0,False,True,False,True,False,True,False,False,0.4798469060919123,-0.7814711077429595,-0.7841792430073967,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
0,male,,0,0,8.4583,,Q,0,25.0,25.0,8.4583,2.246892662898172,1,1,0,False,True,True,False,False,True,False,False,-0.30599503231887076,-0.761524969334327,-0.7386163019798164,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
0,male,54.0,0,0,51.8625,45-59,S,1,54.0,54.0,51.8625,3.967694202798607,1,1,0,False,False,False,True,False,True,False,False,1.9729465890724,1.358842850200255,1.038145562232327,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
0,male,2.0,3,1,21.075,0-9,S,0,2.0,2.0,21.075,3.0944457464900235,5,0,0,False,True,False,True,False,False,False,False,-2.1134314906636718,-0.14517805662260871,0.1364991380659541,2.2474704895351842,0.7676298785983874,1.9195639980971482
1,female,27.0,0,2,11.1333,18-29,S,0,27.0,27.0,11.1333,2.495953738718064,3,0,1,False,True,False,True,False,False,True,False,-0.14882664463671416,-0.6308467419449267,-0.48145578049281335,-0.47454519624983954,2.0089333664952354,0.6792945838081278
1,female,14.0,1,0,30.0708,10-17,C,0,14.0,14.0,30.0708,3.436268471383741,2,0,1,True,False,False,False,False,False,True,False,-1.170421164570732,0.2942818304613415,0.4894379098126231,0.4327933656785018,-0.4736736092984604,0.059159876663617626
1,female,4.0,1,1,16.7,0-9,S,1,4.0,4.0,16.7,2.8735646395797834,3,0,1,False,True,False,True,True,False,False,False,-1.9562631029815152,-0.35890412945574,-0.09156500424402261,0.4327933656785018,0.7676298785983874,0.6792945838081278
1,female,58.0,0,0,26.55,45-59,S,1,58.0,57.75,26.55,3.3160025355989236,1,1,1,False,False,False,True,True,False,False,False,2.267637315976444,0.12228485737999564,0.36526093570402607,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
0,male,20.0,0,0,8.05,18-29,S,0,20.0,20.0,8.05,2.2027647577118348,1,1,0,False,True,False,True,False,True,False,False,-0.6989160015242623,-0.7814711077429595,-0.7841792430073967,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
0,male,39.0,1,5,31.275,30-44,S,0,39.0,39.0,31.275,3.4742929367327062,7,0,0,False,True,False,True,False,True,False,False,0.7941836814562255,0.35310901603977735,0.5286989276421437,0.4327933656785018,5.73284383018578,3.1598334123861687
0,female,14.0,0,0,7.8542,10-17,S,0,14.0,14.0,7.8542,2.180891922715322,1,1,1,False,True,False,True,True,False,False,False,-1.170421164570732,-0.7910362654711258,-0.806763380796033,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
1,female,55.0,0,0,16.0,45-59,S,0,55.0,55.0,16.0,2.833213344056216,1,1,1,True,False,False,True,False,False,True,False,2.0515307829134786,-0.393100301109041,-0.13322852057373055,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
0,male,2.0,4,1,29.125,0-9,Q,0,2.0,2.0,29.125,3.405355391810819,6,0,0,False,True,True,False,False,False,False,False,-2.1134314906636718,0.24807791739035287,0.457519539438721,3.1548090514635256,0.7676298785983874,2.5396987052416584
1,male,,0,0,13.0,,S,0,30.0,30.0,13.0,2.6390573296152584,1,1,0,True,False,False,True,False,True,False,False,0.08692593688652077,-0.539655322480331,-0.3336984726090336,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
0,female,31.0,1,0,18.0,30-44,S,0,31.0,31.0,18.0,2.9444389791664403,2,0,1,False,True,False,True,False,False,True,False,0.16551013072759907,-0.29539695352818096,-0.01838583697289204,0.4327933656785018,-0.4736736092984604,0.059159876663617626
1,female,,0,0,7.225,,C,0,21.5,21.5,7.225,2.1071782966514356,1,1,1,False,True,False,False,False,False,True,False,-0.5810397107626448,-0.8217737386200644,-0.8828741679067217,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
0,male,35.0,0,0,26.0,30-44,S,0,35.0,35.0,26.0,3.295836866004329,1,1,0,True,False,False,True,False,True,False,False,0.4798469060919123,0.0954164367952591,0.3444394801955362,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
1,male,34.0,0,0,13.0,30-44,S,1,34.0,34.0,13.0,2.6390573296152584,1,1,0,True,False,False,True,False,True,False,False,0.401262712250834,-0.539655322480331,-0.3336984726090336,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
1,female,15.0,0,0,8.0292,10-17,Q,0,15.0,15.0,8.0292,2.2004637699272855,1,1,1,False,True,True,False,True,False,False,False,-1.0918369707296538,-0.7824872225578006,-0.7865550587251358,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
1,male,28.0,0,0,35.5,18-29,S,1,28.0,28.0,35.5,3.597312260588446,1,1,0,False,False,False,True,False,True,False,False,-0.07024245079563585,0.5595073378043441,0.6557188297748954,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925
0,female,8.0,3,1,21.075,0-9,S,0,8.0,8.0,21.075,3.0944457464900235,5,0,1,False,True,False,True,True,False,False,False,-1.641926327617202,-0.14517805662260871,0.1364991380659541,2.2474704895351842,0.7676298785983874,1.9195639980971482
